"Date","Price","Open","High","Low","Change %"
"06/30/2025","0.689","0.719","0.719","0.719","10.77%"
"06/27/2025","0.622","0.749","0.749","0.640","-13.49%"
"06/26/2025","0.719","0.788","0.788","0.709","-5.52%"
"06/25/2025","0.761","0.778","0.791","0.778","1.33%"
"06/24/2025","0.751","0.768","0.809","0.768","9.16%"
"06/23/2025","0.688","0.678","0.718","0.678","18.62%"
"06/20/2025","0.580","0.679","0.680","0.679","-10.63%"
"06/19/2025","0.649","0.679","0.679","0.649","-0.15%"
"06/18/2025","0.650","0.701","0.701","0.629","-2.69%"
"06/17/2025","0.668","0.900","0.900","0.698","-18.54%"
"06/16/2025","0.820","0.841","0.850","0.828","1.23%"
"06/13/2025","0.810","0.831","0.849","0.831","1.25%"
"06/12/2025","0.800","0.822","0.852","0.822","1.14%"
"06/11/2025","0.791","0.829","0.829","0.821","-1.13%"
"06/10/2025","0.800","0.900","0.962","0.830","-2.44%"
"06/09/2025","0.820","0.841","0.859","0.841","1.23%"
"06/06/2025","0.810","0.831","0.879","0.831","1.25%"
"06/05/2025","0.800","0.860","0.860","0.809","-3.50%"
"06/04/2025","0.829","0.770","0.859","0.770","12.33%"
"06/03/2025","0.738","0.711","0.768","0.698","21.18%"
"06/02/2025","0.609","0.568","0.661","0.568","12.78%"
"05/30/2025","0.540","0.500","0.570","0.500","15.14%"
"05/29/2025","0.469","0.481","0.499","0.481","4.22%"
"05/28/2025","0.450","0.531","0.531","0.480","-10.00%"
"05/27/2025","0.500","0.641","0.641","0.530","-9.26%"
"05/26/2025","0.551","0.590","0.590","0.542","-1.96%"
"05/23/2025","0.562","0.771","0.771","0.592","-24.05%"
"05/22/2025","0.740","0.792","0.830","0.770","-2.76%"
"05/21/2025","0.761","0.889","0.889","0.791","-11.72%"
"05/20/2025","0.862","1.350","1.350","0.892","-33.79%"
"05/19/2025","1.302","1.332","1.332","1.332","0.23%"
"05/16/2025","1.299","1.268","1.329","1.268","4.72%"
"05/15/2025","1.240","1.279","1.279","1.270","-0.84%"
"05/14/2025","1.251","1.281","1.281","1.132","0.16%"
"05/13/2025","1.249","1.498","1.651","1.279","-13.74%"
"05/12/2025","1.448","1.890","1.890","1.478","-22.15%"
"05/09/2025","1.860","2.122","2.122","1.890","-10.96%"
"05/08/2025","2.089","2.718","2.718","2.119","-22.37%"
"05/07/2025","2.691","3.031","3.040","2.721","-10.24%"
"05/06/2025","2.998","3.412","3.412","3.028","-11.59%"
"05/02/2025","3.391","3.421","3.421","3.408","0.03%"
"04/30/2025","3.390","3.438","3.438","3.420","-0.62%"
"04/29/2025","3.411","3.258","3.441","3.258","5.31%"
"04/28/2025","3.239","3.260","3.269","3.260","0.25%"
"04/25/2025","3.231","3.209","3.261","3.209","1.32%"
"04/24/2025","3.189","3.201","3.219","3.201","0.63%"
"04/23/2025","3.169","3.190","3.199","3.190","0.25%"
